Order,seq_id,Tree_label,Cluster,Accession,Family,Genus,Original_Species_ID,Updated_Species_ID,Gene,Region,Location,Location notes,Data_type,Molecular_result,Biogeography_result,Collector,Collection_ID,Voucher,Locality_Name,Latitude,Longitude,Substrate,Depth,Sampling method
1,"KM027318.1_Pylaiella_littoralis_voucher_L234_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027318:Pylaiella littoralis/varia,1,KM027318,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,"France: Concarneau, Pendruc, Pointe de la",,GenBank,,,,,,,,,,,
2,"KM027320.1_Pylaiella_littoralis_voucher_L240_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027320:Pylaiella littoralis/varia,1,KM027320,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,"France: Concarneau, Pendruc, Pointe de la",,GenBank,,,,,,,,,,,
3,"KM027322.1_Pylaiella_littoralis_voucher_L188_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027322:Pylaiella littoralis/varia,1,KM027322,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Dinard,,GenBank,,,,,,,,,,,
4,"KM027324.1_Pylaiella_littoralis_voucher_L169_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027324:Pylaiella littoralis/varia,1,KM027324,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Dinard,,GenBank,,,,,,,,,,,
5,"KM027317.1_Pylaiella_littoralis_voucher_L155_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027317:Pylaiella littoralis/varia,1,KM027317,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
6,"KM027319.1_Pylaiella_littoralis_voucher_L091_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027319:Pylaiella littoralis/varia,1,KM027319,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
7,"KM027321.1_Pylaiella_littoralis_voucher_L100_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027321:Pylaiella littoralis/varia,1,KM027321,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
8,"KM027323.1_Pylaiella_littoralis_voucher_L094_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027323:Pylaiella littoralis/varia,1,KM027323,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
9,"KM027325.1_Pylaiella_littoralis_voucher_L156_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027325:Pylaiella littoralis/varia,1,KM027325,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
10,"KM027326.1_Pylaiella_littoralis_voucher_L095_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027326:Pylaiella littoralis/varia,1,KM027326,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
11,"KM027327.1_Pylaiella_littoralis_voucher_L108_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027327:Pylaiella littoralis/varia,1,KM027327,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
12,"KM027328.1_Pylaiella_littoralis_voucher_L158_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027328:Pylaiella littoralis/varia,1,KM027328,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
13,"LM995270.1_Pylaiella_littoralis_mitochondrial_partial_COI_gene_for_cytochrome_oxidase_subunit_1,_strain_PlitPH13-03m",LM995270:Pylaiella littoralis/varia,1,LM995270,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,"France:Brittany, Roscoff, Santec,",,GenBank,,,,,,,,,,,
14,"LM995114.1_Pylaiella_littoralis_mitochondrial_partial_COI_gene_for_cytochrome_oxidase_subunit_1,_strain_BLZ11-114",LM995114:Pylaiella littoralis/varia,1,LM995114,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,"France:Brittany, Roscoff, Santec, Roc'h ar",,GenBank,,,,,,,,,,,
15,"HM891383.1_Pylaiella_varia_voucher_GWS007575_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",HM891383:Pylaiella littoralis/varia,1,HM891383,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northwest Atlantic,Canada,Newfoundland,GenBank,,,,,,,,,,,
16,"KY572665.1_Pylaiella_varia_voucher_GWS014103_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572665:Pylaiella littoralis/varia,1,KY572665,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northwest Atlantic,"Canada: New Brunswick, Castalia salt marsh",,GenBank,,,,,,,,,,,
17,"KY572476.1_Pylaiella_varia_voucher_GWS029954_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572476:Pylaiella littoralis/varia,1,KY572476,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northwest Atlantic,"Canada: New Brunswick, 'Cottonii' Creek,",,GenBank,,,,,,,,,,,
18,"KY572618.1_Pylaiella_varia_voucher_GWS029953_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572618:Pylaiella littoralis/varia,1,KY572618,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northwest Atlantic,"Canada: New Brunswick, 'Cottonii' Creek,",,GenBank,,,,,,,,,,,
19,"KY572148.1_Pylaiella_varia_voucher_GWS007442_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572148:Pylaiella littoralis/varia,1,KY572148,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northwest Atlantic,"Canada: Newfoundland and Labrador,",,GenBank,,,,,,,,,,,
20,"KY572629.1_Pylaiella_varia_voucher_GWS007377_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572629:Pylaiella littoralis/varia,1,KY572629,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northwest Atlantic,"Canada: Newfoundland and Labrador, Bottle",,GenBank,,,,,,,,,,,
21,"KY572222.1_Pylaiella_varia_voucher_GWS007592_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572222:Pylaiella littoralis/varia,1,KY572222,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: exposed coast west of Grand,,GenBank,,,,,,,,,,,
22,"KY572639.1_Pylaiella_varia_voucher_2016_BIO309A_37_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572639:Pylaiella littoralis/varia,1,KY572639,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,"Norway: Hordaland, Espegrend",,GenBank,,,,,,,,,,,
23,"KY572269.1_Pylaiella_varia_voucher_GWS038076_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KY572269:Pylaiella littoralis/varia,1,KY572269,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,"Norway: Station Dorm Beach, Espegend",,GenBank,,,,,,,,,,,
24,"HQ919243.1_Pylaiella_varia_voucher_GWS017936_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",HQ919243:Pylaiella littoralis/varia,1,HQ919243,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northwest Atlantic,USA,Conneticut,GenBank,,,,,,,,,,,
25,FG87,PX414310:Pylaiella varia,1,PX414310,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Franz Goecke,FG87,Y,Grindoy,69.64248,18.84912,On Vertebrata,0-2 m,Snorkeling
26,KS101,PX414304:Pylaiella littoralis,1,PX414304,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Kjersti Sjotun,KS101,H,Baeroy-Nord,58.06155,7.00633,0,0-1 m,Hand-pick
27,KS103,PX414305:Pylaiella littoralis,1,PX414305,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Kjersti Sjotun,KS103,"H, P",Kveldsund,58.07398,6.89354,0,0-2 m,Snorkeling
28,KS109,PX414306:Pylaiella littoralis ,1,PX414306,Acinetosporaceae,Pylaiella,Pylaiella littoralis ,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Stein Fredriksen,KS109,H,Grindoy,69.64248,18.84912,0,0-2 m,Snorkeling
29,KS110,PX414307:Pylaiella littoralis ,1,PX414307,Acinetosporaceae,Pylaiella,Pylaiella littoralis ,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Stein Fredriksen,KS110,H,Grindoy,69.64248,18.84912,0,0-2 m,Snorkeling
30,KS111,PX414308:Pylaiella littoralis ,1,PX414308,Acinetosporaceae,Pylaiella,Pylaiella littoralis ,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Stein Fredriksen,KS111,H,Grindoy,69.64248,18.84912,0,0-2 m,Snorkeling
31,KS130,PX414309:Pylaiella littoralis ,1,PX414309,Acinetosporaceae,Pylaiella,Pylaiella littoralis ,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Kjersti Sjotun,KS130,H,"Tromsoy, south end",69.62815,18.90997,0,0 m,Hand-pick
32,KS51,PX414311:Pylaiella varia,1,PX414311,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Vivian Husa,KS51,"H, M",Vikingvag,60.86666,4.90916,On old Zostera,0-5 m,"Snorkeling, dredging"
33,KS78,PV054083:Pylaiella varia,1,PV054083,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Kjersti Sjotun,KS78,"H, P","Lauvoysund, Tjongspoll",59.66116,5.22183,Ascophyllum nodosum,0 m,Hand-pick
34,KS90,PX414302:Pylaiella littoralis,1,PX414302,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Stein Fredriksen,KS90,"H, P",Eigeroy,58.07032,6.82831,Kelp blade,0-2 m,Snorkeling
35,KS96,PX414303:Pylaiella littoralis,1,PX414303,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Kjersti Sjotun,KS96,"H, P",Ulleroy,58.05578,6.93067,Sargassum muticum,0-1 m,Hand-pick
36,LLG01,PV054071:Pylaiella varia,1,PV054071,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Line Le Gall,LLG01,"H, M, P","Dovika, Tjongspoll",59.67378,5.23196,Entangl. w Ascophyllum,0.5,Hand-pick
37,LLG02,PV054082:Pylaiella varia,1,PV054082,Acinetosporaceae,Pylaiella,Pylaiella varia,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Line Le Gall,LLG02,"H, P","Dovika, Tjongspoll",59.67378,5.23196,Entangl. ,0.5,Snorkeling
38,LLG09,PV054036:Pylaiella littoralis,1,PV054036,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Line Le Gall,LLG09,"H, M, P","Sagsundet, Tjongspoll",59.666,5.22383,Ascophyllum,0.5,Snorkeling
39,VH03,PV054046:Pylaiella littoralis,1,PV054046,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,Norway:Current,,Norwegian Taxonomic Initiative,Linked to known species,Previously reported from Northeast Atlantic,Vivian Husa,VH03,"H, P",Lindas st.2,60.7255,5.07616,0,5-10 m,Big triangular dredge
40,"JX572035.1_Pylaiella_littoralis_voucher_GWS005282_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",JX572035:Pylaiella littoralis,2,JX572035,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Churchill, Bluff A,",,GenBank,,,,,,,,,,,
41,"JX572077.1_Pylaiella_littoralis_voucher_GWS005288_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",JX572077:Pylaiella littoralis,2,JX572077,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Churchill, Bluff A,",,GenBank,,,,,,,,,,,
42,"JX572139.1_Pylaiella_littoralis_voucher_GWS005300_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",JX572139:Pylaiella littoralis,2,JX572139,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Churchill, Bluff A,",,GenBank,,,,,,,,,,,
43,"JX572158.1_Pylaiella_littoralis_voucher_GWS005266_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",JX572158:Pylaiella littoralis,2,JX572158,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Churchill, Bluff A,",,GenBank,,,,,,,,,,,
44,"JX572021.1_Pylaiella_littoralis_voucher_GWS005318_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",JX572021:Pylaiella littoralis,2,JX572021,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Churchill, Gordon Point,",,GenBank,,,,,,,,,,,
45,"KF281226.1_Pylaiella_littoralis_voucher_GWS005942_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",KF281226:Pylaiella littoralis,2,KF281226,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, Blacks Harbour",,GenBank,,,,,,,,,,,
46,"MH309209.1_Pylaiella_littoralis_voucher_GWS013894_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309209:Pylaiella littoralis,2,MH309209,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, East Quoddy",,GenBank,,,,,,,,,,,
47,"MH309361.1_Pylaiella_littoralis_voucher_GWS012445_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309361:Pylaiella littoralis,2,MH309361,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, East Quoddy",,GenBank,,,,,,,,,,,
48,"MH309637.1_Pylaiella_littoralis_voucher_GWS003874_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309637:Pylaiella littoralis,2,MH309637,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, Lepreau exposed",,GenBank,,,,,,,,,,,
49,"MH308748.1_Pylaiella_littoralis_voucher_GWS029927_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH308748:Pylaiella littoralis,2,MH308748,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, Letete exposed",,GenBank,,,,,,,,,,,
50,"MH308999.1_Pylaiella_littoralis_voucher_GWS029950_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH308999:Pylaiella littoralis,2,MH308999,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, Letete exposed",,GenBank,,,,,,,,,,,
51,"MH309040.1_Pylaiella_littoralis_voucher_GWS029961_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309040:Pylaiella littoralis,2,MH309040,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, Letete exposed",,GenBank,,,,,,,,,,,
52,"MH309746.1_Pylaiella_littoralis_voucher_GWS029951_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309746:Pylaiella littoralis,2,MH309746,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, Letete exposed",,GenBank,,,,,,,,,,,
53,"MH309886.1_Pylaiella_littoralis_voucher_GWS029952_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309886:Pylaiella littoralis,2,MH309886,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: New Brunswick, Letete exposed",,GenBank,,,,,,,,,,,
54,"MH309160.1_Pylaiella_littoralis_voucher_GWS007832_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309160:Pylaiella littoralis,2,MH309160,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"Canada: Nova Scotia, Cap St. MIr, Digby",,GenBank,,,,,,,,,,,
55,"MW209741.1_Pylaiella_littoralis_cytochrome_c_oxidase_subunit_1_(COX1)_gene,_partial_cds;_mitochondrial",MW209741:Pylaiella littoralis,2,MW209741,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Other,Falkland Islands (Islas Malvinas): West,,GenBank,,,,,,,,,,,
56,"KM027329.1_Pylaiella_littoralis_voucher_L144_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027329:Pylaiella littoralis,2,KM027329,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
57,"KM027330.1_Pylaiella_littoralis_voucher_L148_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027330:Pylaiella littoralis,2,KM027330,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
58,"KM027333.1_Pylaiella_littoralis_voucher_L153_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027333:Pylaiella littoralis,2,KM027333,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
59,"KM027331.1_Pylaiella_littoralis_voucher_L040_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027331:Pylaiella littoralis,2,KM027331,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,France: Saint-Malo,,GenBank,,,,,,,,,,,
60,"KM027332.1_Pylaiella_littoralis_voucher_L026_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027332:Pylaiella littoralis,2,KM027332,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,France: Saint-Malo,,GenBank,,,,,,,,,,,
61,"LM995046.1_Pylaiella_littoralis_mitochondrial_partial_COI_gene_for_cytochrome_oxidase_subunit_1,_strain_BLZ11-32",LM995046:Pylaiella littoralis,2,LM995046,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,"France:Brittany, Roscoff, Santec, Roc'h ar",,GenBank,,,,,,,,,,,
62,"LM995063.1_Pylaiella_littoralis_mitochondrial_partial_COI_gene_for_cytochrome_oxidase_subunit_1,_strain_BLZ11-52",LM995063:Pylaiella littoralis,2,LM995063,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,"France:Brittany, Roscoff, Santec, Roc'h ar",,GenBank,,,,,,,,,,,
63,"LM995098.1_Pylaiella_littoralis_mitochondrial_partial_COI_gene_for_cytochrome_oxidase_subunit_1,_strain_BLZ11-93",LM995098:Pylaiella littoralis,2,LM995098,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,"France:Brittany, Roscoff, Santec, Roc'h ar",,GenBank,,,,,,,,,,,
64,"LM995140.1_Pylaiella_littoralis_mitochondrial_partial_COI_gene_for_cytochrome_oxidase_subunit_1,_strain_BLZ11-148",LM995140:Pylaiella littoralis,2,LM995140,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,"France:Brittany, Roscoff, Santec, Roc'h ar",,GenBank,,,,,,,,,,,
65,"MH309522.1_Pylaiella_littoralis_voucher_GWS038043_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309522:Pylaiella littoralis,2,MH309522,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northeast Atlantic,"Norway: Litlebukken Island, Bergen",,GenBank,,,,,,,,,,,
66,"MH309950.1_Pylaiella_littoralis_voucher_GWS003634_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309950:Pylaiella littoralis,2,MH309950,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"USA: Maine, End of public road, Starboard",,GenBank,,,,,,,,,,,
67,"MH309932.1_Pylaiella_littoralis_voucher_GWS006043_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MH309932:Pylaiella littoralis,2,MH309932,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,COI,Northwest Atlantic,"USA: Rhode Island, Governor Sprague Bridge",,GenBank,,,,,,,,,,,
68,"HM891050.1_Pylaiella_sp._1littoralis_voucher_GWS005759_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",HM891050:Pylaiella littoralis,2,HM891050,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Northwest Atlantic,Canada,Bay of Fundy,GenBank,,,,,,,,,,,
69,"HM891509.1_Pylaiella_sp._1littoralis_voucher_GWS012401_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",HM891509:Pylaiella littoralis,2,HM891509,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Northwest Atlantic,Canada,Bay of Fundy,GenBank,,,,,,,,,,,
70,"HQ990483.1_Pylaiella_sp._1littoralis_voucher_GWS007918_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",HQ990483:Pylaiella littoralis,2,HQ990483,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Northwest Atlantic,Canada,Nova Scotia,GenBank,,,,,,,,,,,
71,"MN335436.1_Pylaiella_sp._1littoralis_voucher_GWS042954_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MN335436:Pylaiella littoralis,2,MN335436,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Gordon's Point, Northeast",,GenBank,,,,,,,,,,,
72,"MN335490.1_Pylaiella_sp._1littoralis_voucher_GWS043101_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MN335490:Pylaiella littoralis,2,MN335490,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Gordon's Point, Northeast",,GenBank,,,,,,,,,,,
73,"MN335605.1_Pylaiella_sp._1littoralis_voucher_GWS042945_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",MN335605:Pylaiella littoralis,2,MN335605,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Arctic,"Canada: Manitoba, Gordon's Point, Northeast",,GenBank,,,,,,,,,,,
74,"HQ919238.1_Pylaiella_sp._1littoralis_voucher_GWS017900_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",HQ919238:Pylaiella littoralis,2,HQ919238,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Northwest Atlantic,USA,Massachussets,GenBank,,,,,,,,,,,
75,"HQ919241.1_Pylaiella_sp._1littoralis_voucher_GWS017916_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",HQ919241:Pylaiella littoralis,2,HQ919241,Acinetosporaceae,Pylaiella,Pylaiella sp. 1littoralis,Pylaiella littoralis,COI,Northwest Atlantic,USA,Massachussets,GenBank,,,,,,,,,,,
